上海贝轩大公馆 ,021-62895777,021-62897878
上海虹桥迎宾馆  ,021-62753903,021-62198855
上海华亭宾馆  ,021-64390130,021-64396000
上海宝安大酒店  ,021-51159865,021-51159888
陕西大厦商务酒店  ,021-62530344,021-52624866
陕西大厦商务酒店  ,021-62530344,021-52624866
上海星程帝景苑酒店公寓 ,021-54247501,021-51166166、54247502
上海星程南浦瑞峰酒店 ,021-63776117,021-63771188
上海云悦酒店 ,021-33023333,021-63356666
上海中星君亭酒店 ,021-63732500,021-63265666
上海浦江饭店  ,021-63243179,021-63246388
上海东郊宾馆  ,021-50277977,021-58958888
上海大厦  ,021-63065147,021-63246260、63246261、63246262
上海富豪环球东亚酒店  ,021-64458899,021-64155588
上海富豪金丰酒店 ,021-58993773,021-58993838
上海国丰酒店 ,021-61740080,021-60958888
上海宏泉丽笙酒店 ,021-52852221,021-53559999
上海朗廷扬子精品酒店 ,021-60800801,021-60800800
上海铭德大酒店（原上海铭德莱星顿广场酒店）  ,021-56726558,021-56720666
上海浦东嘉里大酒店 ,021-61698899,021-61698888
上海浦东香格里拉大酒店  ,021-68826688,021-68828888
上海浦东星河湾酒店 ,021-50723803,021-38929666
上海千禧海鸥大酒店  ,021-62085811,021-62085888
上海四季酒店  ,021-62871046,021-62568888
上海神旺大酒店 ,021-61451118,021-61451111
上海首席公馆酒店 ,021-54037077,021-54039888
上海外滩华尔道夫酒店 ,021-63219888,021-63229988
上海外滩茂悦大酒店 ,021-63931313,021-63931234
上海希尔顿酒店  ,021-62483868,021-62480000
上海兴荣温德姆至尊豪廷酒店  ,021-58525888,021-58526666
上海粤海酒店 ,021-51156388,021-55589888
上海卓美亚喜玛拉雅酒店 ,021-38580999,021-38580888
上海中油阳光大酒店  ,021-68758688,021-68758888
上海奥林匹克俱乐部  ,021-64396295,021-54524788
上海滨江欣景大酒店 ,021-63306057,021-63306060
上海东鼎宾馆 ,021-61413208,021-61413200
上海帝璟丽致大酒店 ,021-51578666,021-51578888
上海达克斯娜酒店 ,021-62522333,021-62261133
上海富豪东亚酒店  ,021-64265888,021-64266888
上海瀚海明玉大酒店  ,021-61001889,021-61001888
上海合家欢宾馆 ,021-60845881,021-60845886
上海虹口世纪大酒店  ,021-65218728,021-36084999
上海华美达广场和平大酒店 ,021-63018833,021-53028888
上海恒升半岛国际酒店  ,021-62105000,021-61205888
上海衡山马勒别墅饭店 ,021-62891020,021-62478881
上海吉臣酒店  ,021-62528333,021-62267777
上海嘉福悦国际大酒店 ,021-60958866,021-60958868
上海建国宾馆  ,021-64399433,021-64399299
上海莱帝恩世大酒店 ,021-61242882,021-61136600
上海丽君酒店 ,021-51960833,021-51960888
上海利津加州酒店 ,021-58718168,021-51577666
上海兰生大酒店  ,021-55888400,021-55888000
上海明城大酒店  ,021-58311119,021-58311118
上海美仑大酒店  ,021-52060900,021-52068000
