杭州马可波罗假日酒店  ,0571-87015887,0571-87018888
杭州友好饭店  ,0571-87073842,0571-87077888
杭州香溢大酒店  ,0571-87218833,0571-87218899
杭州中山国际大酒店 ,0571-87022403,0571-87068899
杭州星程精品众安华纳假日大酒店 ,0571-85266668,0571-85266666
杭州星程南山人家大酒店 ,0571-87566006,0571-87566001
杭州凯悦酒店 ,0571-87791818,0571-87791234
杭州温德姆至尊豪廷大酒店 ,0571-87836666,0571-87616888
杭州圣瑞驰财富酒店 ,0571-28118383,0571-28119333
杭州华辰国际饭店  ,0571-87922693,0571-87652222
杭州梅地亚宾馆（浙江梅地亚新闻交流中心）  ,0571-87918833,0571-87918888
杭州世贸君亭广场酒店 ,0571-28116668,0571-28116666
杭州新金山大酒店  ,0571-87245198,0571-87240888
杭州新侨饭店  ,0571-87071428,0571-87076688
浙江维多利亚丽嘉酒店 ,0571-87068888,0571-56789999
杭州世贸君亭西湖四季酒店 ,0571-28033668,0571-28033666
杭州（君亭）银隆西湖四季酒店 ,0571-82117668,0571-82118666
杭州蓝天清水湾国际大酒店 ,0571-87379700,0571-87379999
杭州华辰银座酒店  ,0571-86982868,0571-86478888
杭州索菲亚大酒店 ,0571-86828200,0571-86828288
杭州星程灵隐宾馆 ,0571-87980705,0571-87986688
浙江开元萧山宾馆  ,0571-82624240,0571-82881888
杭州星程武林广场酒店 ,0571-87567001,0571-87567000
杭州凤起中山北路星程汇豪酒店 ,0571-87130699,0571-87130666
杭州大厦 ,0571-85170062,0571-85153911
如家快捷酒店（杭州凤起路丝绸城店）（原杭州凤起路环北市场店） ,0571-87917809,0571-87035333
如家快捷酒店（杭州体育场路店） ,0571-85195688,0571-85195688
如家快捷酒店（杭州武林广场中心店） ,0571-88853331,0571-88853335
如家快捷酒店（杭州武林门店） ,0571-86758099,0571-86758099
如家快捷酒店（杭州西湖文化广场上塘路店） ,0571-85390222,0571-85399777
杭州最佳西方梅苑宾馆  ,0571-88073297,0571-88051000
杭州马可波罗花园酒店 ,0571-56926622,0571-56078888
华美达广场杭州海华大酒店  ,0571-87215108,0571-87215888
