锦江之星（宁波麦德龙店）,0574-88462002,0574-88462393
锦江之星（宁波火车站店）,0574-87131818,0574-83882999
锦江之星（宁波鄮城店）,0574-87282777,0574-87273888
锦江之星（宁波天一店）,0574-87379922,0574-87052222
锦江之星（宁波雅戈尔店）,0574-83071717,0574-82813777
锦江之星（宁波朝晖路店）,0574-87960299,0574-87055888
莫泰168（宁波百丈东路店）,0574-83853333,0574-87876888
莫泰168（宁波天一广场店）,0574-27981600,0574-27711168
宁波北城商务酒店,0574-26281622,0574-26285555
宁波北仑富春江宾馆,0574-86811222,0574-86801555、86811222
宁波北仑名仁假日酒店,0574-86150555,0574-86150666
宁波北仑学苑宾馆,0574-26885555,0574-26887777、26888532
宁波城市印象酒店,0574-56870899,0574-56870800、56870870
宁波风雅倾城时尚酒店,0574-87459808,0574-87459788
宁波海曙好顺宾馆,0574-87479988,0574-55005454
宁波华悦城市连锁酒店（兴宁店）,0574-87011288,0574-87052666、87011201
宁波红叶大酒店,0574-87877168,0574-87877111
宁波豪苑假日酒店,0574-28888367,0574-28879888
宁波江东亿豪商务酒店,0574-87991456,0574-87750288、87991466
宁波君艳快捷酒店,0574-26280055,0574-26256888
宁波空港翔悦酒店,0574-27857999,0574-27857777
宁波老槐树商务酒店,0574-87036789,0574-87036887
宁波米兰风尚酒店,0574-56880600,0574-56787777
宁波名轩商务宾馆（原北仑中晖商务宾馆）,0574-86851700,0574-86987777
宁波欧宝大酒店,0574-87996612,0574-87996688、87996601
宁波市地质招待所,0574-87138093,0574-87091555、87091588-8888
宁波四季假日酒店,0574-27725050,0574-27725500、27720880
宁波新家园速8酒店,0574-56115679,0574-56115678
宁波亚太四季酒店,0574-87995566,0574-87995599
宁波中亿假日大酒店,0574-87067999,0574-88288888
南苑E家商务旅店（宁波北仑小港店）,0574-26852555,0574-26895888
南苑e家商务旅店（宁波北仑新碶店）,0574-26877628,0574-26872222、400-672-2000
南苑e家商务旅店（宁波北仑学苑店）,0574-86120818,0574-86117777
南苑E家商务旅店（宁波国际会展中心店）,0574-27901790,0574-27902727
南苑e家商务旅店（宁波高新区店）,0574-87967888、87967788,0574-87967777
南苑E家商务旅店（宁波开明店）,0574-87070333,0574-87070222
南苑E家商务旅店（宁波天源巷店）,0574-28880088,0574-28880000
如家快捷酒店（宁波北仑新大路店）,0574-86830699,0574-86832388
如家快捷酒店（宁波环城西路店）,0574-89082121,0574-89083000
如家快捷酒店（宁波柳汀街店）,0574-87165608,0574-87165778
如家快捷酒店（宁波桑田路店）,0574-87990577,0574-87995999
如家快捷酒店（宁波天童北路店）,0574-83051277,0574-83051288
如家快捷酒店（宁波天一广场鼓楼店）,0574-83896111,0574-83897000
如家快捷酒店（宁波兴宁路店）,0574-87856328,0574-87880222
如家快捷酒店（宁波孝闻街店）,0574-87361188,0574-87362888
如家快捷酒店（宁波月湖店）,0574-56867799,0574-56867788
如家快捷酒店（宁波中山东路店）,0574-87379290,0574-87372567
3B酒店（宁波清河店）,0574-87655678,0574-87386666
月湖大酒店（宁波军分区招待所）,0574-87294261,0574-87328868-9、8888
宁波丽兹大酒店,0574-88223333,0574-88059999
宁波海鸥宾馆,0574-56151600,0574-87951188
宁波江南绿洲大酒店,0574-88225777,0574-88137777
汉庭快捷酒店（宁波彩虹南路店）,0574-87869388,0574-87073888
宁波东悦商务酒店,0574-87051818,0574-87051828
