同里湖大饭店  ,0512-63322900,0512-63337888
同里湖度假村  ,0512-63131888,0512-63330888
同里育青阁花园酒店 ,0512-63323200,0512-63326999
同里繁荣客栈 ,0512-63337665,0512-63337665
同里湖畔人家大酒店 ,0512-63322772,0512-63339777
同里敬仪堂民居客栈 ,0512-63338805,0512-63322180
同里三谢堂客栈 ,0512-63336886,0512-63336886
同里同缘堂客栈 ,0512-63321667,0512-63321668
同里迎燕商务宾馆 ,0512-36428288-8888,0512-63428288
同里正福草堂中式别院 ,0512-63320576,0512-63320576
同里三元大酒店 ,0512-63331689,0512-63331021
吴江同里阳光驿站 ,0512-63988688,0512-63988788
南浔小莲庄宾馆 ,0572-3037678,0572-2900900
南浔景程假日酒店 ,0572-3017555,0572-3022888
湖州南浔6.1风尚酒店 ,0572-3028687,0572-3056161
湖州南浔米兰商务酒店 ,0572-2994796,0572-3106666
湖州枫丹白露花园大酒店 ,0572-2199266,0572-2066777
湖州太湖阳光雷迪森度假酒店 ,0572-2136666,0572-2136688
湖州宾馆  ,0572-2025698,0572-2022088、2022081
湖州白蘋洲大酒店  ,0572-2070790,0572-2028888
湖州吴兴皇冠大酒店 ,0572-2672266,0572-2606999、2676798（预订部直线）
湖州太湖山庄 ,0572-7299828,0572-7299999
莫泰168（湖州红旗路店） ,0572-2052221,0572-2052222
南浔小莲庄宾馆 ,0572-3037678,0572-2900900
湖州国际大酒店  ,0572-2037788,0572-2057788
湖州哥伦波太湖城堡 ,0572-2159008,0572-2159007
湖州嘉年华大酒店 ,0572-2119977,0572-2108888、2191436、2191466
湖州荻港渔庄  ,0572-3771761,0572-3772288
湖州华亭宾馆 ,0572-2020666,0572-2076666
湖州凯悦大酒店 ,0572-2026666,0572-2026802、2026803
湖州鸟之家乡村度假酒店（原湖州鸟之家户外庄园） ,0572-2096208,0572-2093777、2069822
湖州吴兴澳大利亚金色山庄 ,0572-3122180,0572-3122187
湖州紫金假日山庄  ,0572-2159800,0572-2159000
南浔景程假日酒店 ,0572-3017555,0572-3022888
湖州枫华洲际酒店 ,0572-2199900,0572-2199888
湖州富士大酒店 ,0572-3106768,0572-3072333
湖州南浔6.1风尚酒店 ,0572-3028687,0572-3056161
湖州鑫茂商务宾馆 ,0572-2167288,0572-2583888、2167287
湖州天煌大酒店  ,0572-2109168,0572-2117777
浙北大酒店  ,0572-2021573,0572-2058888
湖州大厦  ,0572-2031449,0572-2035888
湖州南方大酒店 ,0572-3078899,0572-3078888
湖州南浔米兰商务酒店 ,0572-2994796,0572-3106666
锦江之星（湖州佰乐门店） ,0572-2032997,0572-2039888
西塘阿拉屋里客栈 ,0573-84562780,0573-84562778
西塘廊桥梦客栈 ,0573-84565064,0573-84563193、84565064
西塘悠然客栈 ,0573-84564536,0573-84564536
西塘大唐宾馆 ,0573-84561896,0573-84551666
西塘迩易堂客栈 ,0573-84567555,0573-84568668
西塘河畔居客栈 ,0573-84566886,0573-84566886
西塘聚福园客栈 ,0573-84561099,0573-84561077
西塘临街客栈 ,0573-84517307,0573-84562190
西塘临街客栈分店 ,0573-84517307,0573-84562190
西塘丽景圆客栈 ,0573-84565077,0573-84565077
西塘廊桥别院 ,0573-84878391,0573-84563193
西塘黎园宾馆 ,0573-84560985,0573-84561889
西塘乐幽客栈 ,0573-84562332,0573-84562332
西塘平川客栈 ,0573-84564562,0573-84564562
西塘千金阁客栈 ,0573-84565151,0573-84565151
西塘沁香缘客栈 ,0573-84560204,0573-84560528
西塘四季春客栈 ,0573-84564850,0573-84564667
西塘水木印象客栈 ,0573-84565008,0573-84565008
西塘拾年生活旅行馆 ,0576-84562071,0573-84562071
西塘沈钱人家客栈 ,0573-84568385,0573-84568385
西塘舒雅居客栈（分店） ,0573-84561728,0573-84561728
西塘晚安77客栈 ,0573-84568686,0573-84568686
西塘望河水阁客栈 ,0573-84564339,0573-84562790
西塘幸福里客栈 ,0573-84556507,0573-84556507(故障)、15257379668(暂用此)
西塘西风瘦马连锁客栈（总店） ,0573-84563432,13456325789
西塘胥苑古董驿栈 ,0573-84566058,0573-84566058
西塘俞府客栈 ,0573-84987007,0573-84560099
西塘阳光小镇北欧风情旅店 ,0573-84562800,0573-84562800
西塘乐艺坊客栈二店 ,0573-84561510,0573-84562439
西塘乐艺坊客栈三店 ,0573-84561510,0573-84562439
西塘乐艺坊客栈一店 ,0573-84561510,0573-84562439
西塘主题客栈 ,0573-84570289,0573-84570288
爱在西塘咖吧客栈 ,0573-84556877,0573-84556877
嘉善西塘假日酒店  ,0573-84565567,0573-84567388
嘉善西塘留云阁客栈 ,0573-84568200,0573-84568600
嘉善西塘烟波致爽客栈 ,0573-84568200,0573-84568277
嘉善自由人酒店 ,0573-84788688,0573-84567688
西塘安善雅居客栈 ,0573-84562519,0573-84565209
西塘宾馆 ,0573-84568024,0573-84568024
西塘度假花园 ,0573-84560500,0573-84560500
西塘屋里厢主题客栈 ,0573-84564535,0573-84564535
西塘小瑶居客栈 ,0573-84560250,0573-84560250
西塘杨柳岸客栈 ,0573-84563432,　　
