宁波海俱王府酒店 ,0574-87966222,0574-87831888
宁波海俱文华酒店 ,0574-27969988,0574-27969999
宁波新园宾馆  ,0574-87294439,0574-87071818
宁波星程宏远大酒店  ,0574-88151151,0574-88151678
宁波海怡大酒店（原宁波海怡商务酒店） ,0574-87076888,0574-87987777
宁波海怡大酒店（原宁波海怡商务酒店） ,0574-87076888,0574-87987777
桔子酒店（宁波解放桥槐树路店） ,0574-27718988,0574-27718999
桔子酒店（宁波月湖店） ,0574-27825777,0574-27715888
宁波东港喜来登酒店  ,0574-87758899,0574-87688688
宁波大榭国际大酒店  ,0574-86985999,0574-86985888
宁波开元名都大酒店  ,0574-83078999,0574-83078888
宁波南苑饭店  ,0574-87097788,0574-87095678
宁波大酒店  ,0574-27880788,0574-27880088
宁波金陵富春国际大酒店  ,0574-86855868,0574-86855888
宁波开元大酒店  ,0574-87887406,0574-87068888
宁波海俱大酒店  ,0574-87076789,0574-87076886
宁波金纬宾馆  ,0574-88118088,0574-88118118
最佳西方宁波江花宾馆（原宁波江花宾馆）  ,0574-87039988,0574-87039888
宁波万豪酒店 ,0574-87101688,0574-87108888
宁波四季瑞丽精品酒店 ,0574-83061600,0574-87576666
宁波中保大厦 ,0574-87199003,0574-87196111
汉庭快捷酒店（宁波彩虹北路店） ,0574-87735408,0574-87057188
汉庭快捷酒店（宁波马园路店） ,0574-87151639,0574-87152666
汉庭快捷酒店（宁波新芝路店） ,0574-27872727,0574-27709666
宁波星程海招酒店 ,0574-27916111,0574-27889888
宁波香格里拉大酒店 ,0574-87997699,0574-87998888
宁波远洲大酒店  ,0574-88228666,0574-88228888
开元宁波九龙湖度假村 ,0574-86536000,0574-86538888
宁波华侨豪生大酒店  ,0574-27877777,0574-27866666
宁波凯洲皇冠假日酒店  ,0574-56199888,0574-56199999
宁波南苑环球酒店 ,0574-82807777,0574-82809999
宁波万达索菲特大饭店 ,0574-28897777,0574-28899888
宁波伯豪华府大酒店 ,0574-28899988,0574-28877888
宁波东港波特曼大酒店 ,0574-87333646,0574-87688688
宁波观止22汽车旅馆 ,0574-87916622,0574-87742222
宁波金港大酒店  ,0574-87678888,0574-87668888
宁波康城阳光丽晶酒店 ,0574-88382966,0574-88128888
宁波钱湖悦庄酒店 ,0574-83899997,0574-83899999
宁波戚家山宾馆  ,0574-86222380,0574-86183366
宁波天港洲际酒店 ,0574-87079299,0574-87079999
宁波文昌大酒店  ,0574-87268188,0574-87268668
宁波鑫海大酒店 ,0574-86666789,0574-86666888
宁波新金星宾馆 ,0574-87087988,0574-87087888
宁波新兴大酒店 ,0574-87361997,0574-87363888
宁波招宝山饭店  ,0574-86275666,0574-86669999
宁波镇海九龙山庄  ,0574-86317776,0574-55007777
宁波晨光大酒店  ,0574-88239823,0574-88239888
宁波城市新贵酒店 ,0574-89012999,0574-89028101
宁波饭店  ,0574-87097868,0574-87097888
宁波福来顿商务酒店  ,0574-88198889,0574-88198888
宁波富茂大酒店 ,0574-87308686,0574-87208888
宁波飞越宾馆 ,0574-87952898,0574-87848888
宁波好丽登国际商务酒店 ,0574-26862000,0574-26862222
宁波黄山绿岛酒店 ,0574-86851618,0574-86851618
宁波海曙涛声宜居商务酒店 ,0574-83879119,0574-87070888
宁波江东淘璞精品酒店 ,0574-87305000,0574-87305000
宁波江南印象大酒店 ,0574-87765067,0574-87797222
宁波嘉悦天紫蓝大酒店 ,0574-83003739,0574-89007111
宁波雷孟德星光大酒店 ,0574-88452777,0574-88452666
宁波曼哈顿·天港大酒店  ,0574-26891199,0574-26859999
宁波宁和豪景酒店 ,0574-82809538,0574-87409999
宁波宁玮世纪尚都大酒店 ,0574-27886868,0574-27857888
