奉化华信国际大酒店 ,0574-28588811,0574-28588888
奉化溪口银凤度假村  ,0574-88812001,0574-81866666
奉化爱伊美大酒店 ,0574-88572008,0574-88572222
奉化商量岗旅游度假村 ,0574-88888222,0574-88888188
奉化太平洋大酒店 ,0574-88668898,0574-88668899
奉化溪口大酒店 ,0574-88853078,0574-88850738
奉化广电商务酒店 ,0574-88585520,0574-88585888
奉化金都之星商务酒店 ,0574-88875997,0574-88875999
奉化武岭宾馆  ,0574-88855422,0574-88856288
奉化溪口紫荆花大酒店 ,0574-88872889,0574-88872888
南苑e家商务旅店（溪口店） ,0574-88873232,0574-88995678
奉化和丰时尚商务宾馆 ,0574-28525858,0574-28585678
奉化润丰行商务酒店 ,0574-88631688,0574-88881688
奉化溪口锦堤商务宾馆 ,0574-88872225,0574-88871888
奉化应梦园宾馆 ,0574-88865333,0574-88865555
南苑e家商务旅店（奉化莼湖店） ,0574-88732008,0574-88731888
奉化大酒店  ,0574-88594282,0574-88590888
奉化溪口雷孟德度假酒店 ,0574-56378959,0574-56378888/56378866
奉化北海大酒店 ,0574-81862192,0574-81862222
南苑e家商务旅店（奉化店） ,0574-88589999,0574-88880088
扬州星程康山酒店 ,0514-89991917,0514-89991880
扬州海德建国酒店 ,0514-87758099,0514-87758188
扬州人家国际大酒店  ,0514-87207183,0514-87220000
扬州淮海路星程天缘酒店 ,0514-87706100,0514-87706000
扬州星程永乐主题酒店 ,0514-87934789,0514-87315666
如家快捷酒店（扬州文昌阁皇宫广场店） ,0514-87934822,0514-87934822
扬州中集格兰云天大酒店 ,0514-89791100,0514-87826666
扬州长乐客栈 ,0514-87807873,0514-87993333
莫泰168（扬州琼花店） ,0514-87819078,0514-87705168、87811321
扬州萃园城市酒店  ,0514-87348315,0514-87800878
扬州铁道宾馆  ,0514-87806080,0514-87806000、87806008
都市客栈（扬州跃进桥店） ,0514-87800188,0514-87800222
扬州汇金玄武饭店  ,0514-87806111,0514-87809999
扬州华美达凯莎酒店 ,0514-87905888,0514-87800000
扬州金陵大饭店  ,0514-85887222,0514-85588888
扬州京华大酒店  ,0514-87368999,0514-87322888
扬州瘦西湖天沐温泉度假村 ,0514-87339799,0514-82996666
扬州紫藤商务酒店 ,0514-87800955,0514-87800988
扬州惠河商务宾馆 ,0514-85598688,0514-85598788
扬州石塔宾馆  ,0514-87314125,0514-87801188
扬州宜必思酒店（客运西站店） ,0514-87805556,0514-82995000
莫泰168（扬州瘦西湖汶河路店） ,0514-87325168,0514-87939555
如家快捷酒店（扬州瘦西湖文昌阁店） ,0514-87361212,0514-87360222
尚客优快捷酒店（扬州古运河时尚店） ,0514-89996198,0514-89996199
扬州小盘谷会所 ,0514-87212109,0514-87232333
扬州迎宾馆  ,0514-87331674,0514-87809888
扬州恒春缘大酒店 ,0514-85556669,0514-85556668、87883288、87987777
扬州花园国际大酒店  ,0514-87888822,0514-87803333
扬州会议中心 ,0514-87888167,0514-87802588
扬州三间院 ,0514-87456085,0514-87456188
扬州新世纪大酒店  ,0514-87871122,0514-87878888
扬州玉蜻蜓雅致酒店  ,0514-87314101,0514-87360000
扬州宾馆  ,0514-87343599,0514-87805888
扬州二十四桥宾馆  ,0514-87328822,0514-87808999
扬州广源丁山大酒店  ,0514-87359772,0514-87330777
扬州红黄蓝商务酒店 ,0514-80786669,0514-80786666
扬州红杉树酒店  ,0514-87315678,0514-87801888
扬州鸿翔假日酒店  ,0514-87702566,0514-87701999、87702555
扬州琼都宾馆 ,0514-87983350,0514-87803555
扬州润扬大酒店  ,0514-87703155,0514-85869333
扬州食为天假日酒店 ,0514-87702355,0514-87702388
扬州天虹大酒店  ,0514-87803078,0514-87803018、0514-87100819
扬州天香阁酒店 ,0514-85580797,0514-85580000
扬州雅阁商务酒店  ,0514－85889818,0514-87706777
扬州远锦国际大酒店 ,0514-87840091,0514-87771888
扬州怡园饭店  ,0514-85123277,0514-85107777
百时快捷酒店（扬州盐阜东路店） ,0514-89991178,0514-89991168
格林豪泰（扬州个园店） ,0514-87366077,0514-87310599
格林豪泰（扬州瘦西湖文昌阁店） ,0514-80985997,0514-87364298
豪斯顿商务酒店（扬州二店） ,0514-80920117,0514-80920118
汉庭快捷酒店（扬州个园店） ,0514-87331200&#9;&#9;,0514-87331222
汉庭快捷酒店（扬州文昌阁店） ,0514-87322390,0514-87322399
汉庭快捷酒店（扬州扬子江路店） ,0514-82989595,0514-82989388
蓝色快舟营销人连锁旅店（扬州绿园店） ,0514-87884470,0514-87800200
