杭州（君亭）银隆西湖四季酒店 ,0571-82117668,0571-82118666
浙江开元萧山宾馆  ,0571-82624240,0571-82881888
杭州开元名都大酒店  ,0571-82888688,0571-82888888
杭州宝盛水博园大酒店 ,0571-83739666,0571-83500888
杭州金马饭店  ,0571-82711579,0571-82887888
杭州世外桃源皇冠假日酒店  ,0571-83880688,0571-83880888
杭州明日宾馆  ,0571-83889008,0571-83889888
杭州萧山宝盛宾馆  ,0571-82811529,0571-82800888
杭州萧山航民宾馆  ,0571-82554886,0571-82889888
杭州萧山众安假日酒店 ,0571-82687777,0571-82977777
杭州光华宾馆  ,0571-83699125,0571-82609888
杭州汉马假日酒店 ,0571-22830158,0571-22882888
杭州开元阳光休闲山庄  ,0571-82724178,0571-82716688
杭州绿宇休闲农庄 ,0571-82785830,0571-82675888
杭州曼格森酒店 ,0571-83876268,0571-83891888
杭州叁益酒店 ,0571-83877699,0571-82688888
杭州天林尚高酒店 ,0571-83876899,0571-83890777
杭州闲林宾馆  ,0571-88686999,0571-88686888
杭州萧山帝豪商务酒店 ,0571-82680716,0571-82706888
杭州萧山华田商务酒店 ,0571-83867786,0571-83887888
杭州萧山纳德51风尚酒店 ,0571-82865151,0571-82869999
杭州萧山新世纪邮电宾馆  ,0571-82622668,0571-82883888
格林豪泰（杭州火车南站店） ,0571-22810998,0571-22850998
格林豪泰（杭州萧山人民广场店） ,0571-57576868,0571-57576868
杭州7尚连锁酒店（萧山店） ,0571-83733677,0571-83733177
杭州富尔特商务酒店（萧山店） ,0571-82853000,0571-82856999
杭州金牛堂商务酒店 ,0571-83888678,0571-82700888
杭州萧港假日酒店 ,0571-22838799,0571-22838777
杭州萧山北干锦洲商务酒店 ,0571-82878877,0571-82827888
杭州萧山华田假日酒店 ,0571-82727910,0571-82727777
杭州萧山品客商务酒店 ,0571-83872366,0571-82286999
杭州萧山商业城休闲山庄 ,0571-83888777,0571-83888777
杭州萧山天汇商务酒店 ,0571-22897866,0571-22897888
杭州萧山湘湖鑫鑫九龙度假山庄 ,0571-83731368,0571-82683888
莫泰168（杭州萧山市心中路店） ,0571-22676168,0571-22889888
如家快捷酒店（杭州萧山汽车站店） ,0571-82737999,0571-82702111
如家快捷酒店（杭州萧山市心北路店） ,0571-83786111,0571-82707888
如家快捷酒店（杭州萧山市心广场店） ,0571-82637588,0571-82637988
如家快捷酒店（杭州萧山市心南路店） ,0571-82658123,0571-82677988
如家快捷酒店（杭州萧山通惠路店） ,0571-82381999,0571-82778888
速8酒店（杭州休博园店）(原杭州滨康速8酒店（杭州火车南站）) ,0571-28185595,0571-28182288
怡莱连锁酒店（杭州萧山店） ,0571-83882838,0571-83882888
杭州汇金商务酒店 ,0571-83862999,0571-83862888
杭州德嘉精致酒店 ,0571-22913688,0571-22828888
杭州快城酒店（原杭州萧山开元城市酒店）  ,0571-82625217,0571-82628888
杭州喜加乐商务酒店 ,0571-57575778,0571-57576888
浙江汇宇华鑫大酒店 ,0571-83877728,0571-82818888
港宁快捷酒店（杭州萧山机场店） ,0571-83581316,0571-82507999
杭州钱塘之星快捷酒店 ,0571-82666183,0571-82973333
杭州速安居酒店 ,0571-82886699,0571-22821699
杭州萧山机场航峰宾馆 ,0571-82996663,0571-82996662
杭州萧山金丽湖商务酒店 ,0571-82828603,0571-82806888、82828602
锦江之星（杭州萧山大润发店） ,0571-83881689,0571-83881688
南苑e家商务旅店（杭州萧山百瑞广场店）（原绿都假日酒店） ,0571-82624850,0571-82608888
杭州第一世界大酒店  ,0571-83860888,0571-83866888
杭州英冠华美达广场酒店 ,0571-83811333,0571-83811999
3B（三碧）酒店（杭州萧山恒隆店） ,0571-83870707,0571-83860000
杭州萧山蓝天宾馆 ,0571-827150209,0571-82887788
杭州圣瑞驰宜家酒店 ,0571-82371888-1018,0571-82371888
杭州友邦酒店 ,0571-82897781,0571-82667666
浙江假日之星酒店（萧山机场店）（原机场宾馆） ,0571-86662799,0571-86665688
杭州歌江维嘉大酒店 ,0571-28080809,0571-28080808
杭州神秘树商务酒店 ,0571-81398300,0571-87200000
约克酒店连锁（杭州下沙店） ,0571-87852369,0571-87399739
杭州鑫瓯大酒店 ,0571-86910578,0571-86830088
杭州下沙宜必思酒店 ,0571-86845556,0571-86845555
布丁酒店（杭州下沙店） ,0571-86848333,0571-86848222
杭州下沙学源速8酒店 ,0571-86910888,0571-86936688、28972897
杭州陆羽山庄度假酒店  ,0571-88501080,0571-88502888
杭州良渚君澜度假酒店（原白鹭湾君澜度假酒店）  ,0571-89008899,0571-89008888
杭州城市花园酒店  ,0571-86236666,0571-86238888
杭州富邦国际大酒店  ,0571-89285288,0571-89268888
杭州世纪瑞城大酒店 ,0571-88736306,0571-88735599
杭州东田度假酒店 ,0571-88781368,0571-88777888
杭州凤皇雅岸国际假日酒店 ,0571-26273399,0571-26270000
杭州天地人大酒店  ,0571-86220683,0571-89185888
杭州铁流商务酒店 ,0571-86169822,0571-86239777
杭州闲林宾馆  ,0571-88686999,0571-88686888
