富阳国际贸易中心大酒店  ,0571-23239898,0571-23238888
富阳富春山居度假村 ,0571-63461222,0571-63461111
富阳公望会精品酒店 ,0571-87196199,0571-87196166
富阳公望会精品酒店 ,0571-87196199,0571-87196166
富阳龙山饭店 ,0571-61718877,0571-61707777
富阳宾馆  ,0571-63325728,0571-63331888
富阳皇家大酒店 ,0571-61733066,0571-61738888
富阳魅力东方宾馆 ,0571-61730298,0571-61731111
富阳太阳城堡大酒店  ,0571-63137168,0571-63137666
富阳太阳城假日酒店 ,0571-28976996,0571-23229999、23229998
富阳新沙温泉度假村 ,0571-63516199,0571-63516188
富阳好日子假日酒店 ,0571-63333078,0571-63163333
富阳卡特兰·闲庭酒店 ,0571-23272211,0571-23278888
格林联盟（富阳金世纪大酒店） ,0571-62059339,0571-62059000、62059300
富阳新宇假日酒店  ,0571-63378620,0571-63379999
莫泰168（富阳孙权路店） ,0571-63131168,0571-63123168
中外运黄山建国酒店 ,0559-5586699,0559-5586688
黄山曙光云松大酒店  ,0559-2595555,0559-2596666、2355573
黄山中瑞华艺大酒店  ,0559-5566999,0559-5566888
黄山老街口客栈  ,0559-2531893,0559-2339188、2534466
黄山香茗假日酒店 ,0559-2579523,0559-2579999
黄山香茗酒店  ,0559-2579888,0559-2579999
黄山碧桂园凤凰酒店 ,0559-2592828,0559-5118888
黄山君瑞百合大酒店 ,0559-2591788,0559-2598666
黄山天都国际饭店 ,0559-2582009,0559-2588888
黄山诺亚方舟大酒店 ,0559-2325100,0559-2325000
黄山高尔夫酒店  ,0559-2568111,0559-2568000
黄山华茂国际大酒店 ,0559-2591222,0559-2598888
黄山柏瑞酒店 ,0559-2585555,0559-2585555
黄山凤湖烟柳度假酒店 ,0559-7520077,0559-7528888、7529999
黄山国际大酒店  ,0559-2512087,0559-2565678
黄山奇墅仙境中坤国际大酒店 ,0559-5548805,0559-5548888
黄山温泉度假酒店 ,0559-5585788,0559-5585103
黄山北海宾馆  ,0559-5581342,0559-5582555
黄山柏晶戴斯公寓酒店 ,0559-2567088,0559-2341111
黄山白云宾馆  ,0559-5582602,0559-5582708
徽商国际大酒店  ,0559-5208889,0559-5208888
黄山华美达醉温泉度假酒店 ,0559-2566789,0559-2568666
黄山华山宾馆  ,0559-2328866,0559-2328888
黄山豪泰大酒店 ,0559-2581619,0559-2555555
黄山海洲国际大酒店  ,0559-5576868,0559-5578989
黄山徽州文化园（华商山庄）  ,0559-2132999,0559-2132888
黄山日普国际大酒店  ,0559-2577575,0559-2577888
黄山歙县饭店 ,0559-2613333,0559-2610000
黄山西递桃源人家度假酒店 ,0559-5156677,0559-5156666、5156667、5156668
黄山学而会议中心酒店 ,0559-7508889,0559-7508888
黄山阳光酒店  ,0559-2550188,0559-2568888
黄山中山国际大酒店 ,0559-8519707,0559-8585555
黄山阿拉酒店 ,0559-5574343,0559-5585783
黄山宏村画中客栈 ,0559-5541956,0559-5543999
黄山宏村协里山庄 ,0559-5541768,0559-5541768
黄山徽尚大酒店 ,0559-5578999,0559-5578833
黄山杭州假日酒店（世纪广场店） ,0559-5283158,0559-5286888
黄山军分区延安宾馆  ,0559-2518484,0559-2559916
黄山君豪假日酒店 ,0559-8511988,0559-8511999
黄山莲花山庄 ,0559-5583165,0559-5583000
黄山山水速8酒店 ,0559-2583188,0559-2580188、0559-2583818
黄山汤口宾馆 ,0559-5563133,0559-5563366
黄山屯溪客栈 ,0559-2525254,0559-2580388
黄山望秀山大酒店（港湾分店） ,0559-5562578,0559-5566088
黄山西递行馆 ,0559-5156996,0559-5156999
黄山新港大酒店  ,0559-5562509,0559-5562648
黄山银虹商务酒店 ,0559-2586977,0559-2586988
黄山云海山庄 ,0559-3583999,0559-3583888
黄山黟县宏村饭店  ,0559-5542668,0559-5541888
黄山黟县天一堂精品酒店 ,0559-5549889,0559-5549888
黄山黟县五里蟠桃山庄 ,0559-2267222,0559-2267777、2267222
黄山濯泉山庄 ,0559-2599997,0559-2589996
上海市总工会黄山休养院 ,0559-8591338,0559-8591350
泊景酒店（黄山店） ,0559-5567000,0559-5565688
黄山19客栈 ,0559-5577351,0559-5577356
黄山52幸运之家 ,0559-5577296,0559-5577296
黄山百川大酒店 ,0559-5574098,0559-5573688
黄山百度假日酒店 ,0559-2529123,0559-2523088
黄山笨骆驼自助游酒店 ,0559-5582538,0559-5562538
黄山碧水人家酒店 ,0559-5577728,0559-5562773
黄山宾悦商务酒店 ,0559-5563105,0559-5295777
黄山大红门酒店 ,0559-5287979,0559-5287878
黄山翡翠第一楼 ,0559-5571777,0559-5577676
黄山翡翠居酒店 ,0559-5577695,0559-5577695
黄山翡翠人家豪威阁客栈 ,0559-5577729,0559-5577729
黄山谷仙居客栈 ,0559-5577628,0559-5577628
黄山金徽阁原生态山庄 ,0559-5577709,0559-5577609
黄山江畔雅居假日酒店 ,0559-2566668,0559-2561777
黄山锦缘山庄 ,0559-5563268,0559-5563268
黄山乐8商务酒店 ,0559-5575789,0559-5575788
黄山龙鹏山庄 ,0559-5290888,0559-5290000
黄山慢城养生俱乐部 ,025-84712807,0559-5561499
黄山梦圆山庄 ,0559-5573555,0559-5573788
黄山顺兴大酒店 ,0559-5579977,0559-5578333
黄山三友快捷酒店 ,0559-5579596,0559-5579580
黄山天宝大酒店 ,0559-5572777,0559-5572777
黄山汤口贵宾楼大酒店 ,0559-5587799,0559-5587777
黄山听泉小苑客栈 ,0559-5577290,0559-5577644
黄山皖豫山庄 ,0559-5577721,0559-5577721
黄山馨颖人家酒店 ,0559-5567669,0559-5567669
黄山小镇国际青年旅舍 ,0559-2522088,0559-2522088
黄山阳光缘假日宾馆 ,0559-5557668,0559-5557668
黄山银杏阁客栈 ,0559-5577616,0559-5577616
黄山竹仙居客栈 ,0559-5577375,0559-5577375
莫泰168（黄山店） ,0559-2547068,0559-2529999
黄山福泰·VISTA庄园 ,0559-8551516,0559-8578888
黄山汤泉大酒店 ,0559-5580066,0559-5583333
黄山香溪谷旅游度假村 ,0559-5155777,0559-5156000
黄山轩辕国际大酒店  ,0559-8508889,0559-8508888
黄山蝶尚非经验酒店 ,0559-2586333,0559-2329999
黄山丁香花园酒店 ,0559-8561558,0559-8561888
黄山国脉大酒店  ,0559-2351199,0559-2351188
黄山光明假日大酒店 ,0559-7539863,0559-7539888
黄山汉高精品酒店 ,0559-2335008,0559-2345000、2340000
黄山环球大酒店  ,0559-5578877,0559-5578899
黄山徽商故里大酒店　 ,0559-2512524,0559-2358388
黄山徽商故里大酒店　 ,0559-2512524,0559-2358388
黄山金陵黟县宾馆  ,0559-5558999,0559-5558888
黄山金融山庄 ,0559-2346507,0559-2346400、2346350
黄山美丽园大酒店 ,0559-2550999,0559-2550666、2550798、2550696
黄山新安山庄 ,0559-2565808,0559-2563333
黄山馨园国际大酒店  ,0559-2572117,0559-2572588
黄山新宇假日酒店  ,0559-7531155,0559-7531111
汉高连锁酒店黄山快捷店 ,0559-2310868,0559-2346656、2346657
黄山东方假日酒店  ,0559-2116622,0559-2118000
黄山地平线大酒店 ,0559-8518866,0559-8518888、8518801
黄山国元大酒店 ,0559-8511320,0559-8511388
黄山宏村一品更楼 ,0559-5542002,0559-5542001
黄山徽风苑宾馆 ,0559-2566368,0559-2566869
黄山杭徽大酒店  ,0559-2358255,0559-2358988、2358090
黄山恒升徽韵酒店 ,0559-7530989,0559-7527799
黄山花溪饭店  ,0559-2514990,0559-2328000
黄山杭州假日酒店（步行街店） ,0559-5206188,0559-5206988
黄山老街苑精品酒店 ,0559-2529808,0559-2529808、5296888
黄山南徽苑酒店 ,0559-2577221,0559-2577188
黄山心族之旅酒店  ,0559-2359797,0559-2357666
黄山印象大酒店  ,0559-5583596,0559-5583500
都市万锦宾馆（黄山火车站店） ,0551-2350037,0559-2350000
黄山佰瑞假日酒店 ,0559-5579998,0559-5579988
黄山富丽楼度假别墅 ,0559-5577290,0559-5577666
黄山宏村清和月客栈 ,0559-5541019,0559-2171731
黄山泓徽大酒店 ,0559-8551688,0559-8551238
黄山鸿泰宾馆 ,0559-2566668,0559-2538181
黄山聚福山庄 ,0559-5562381,0559-5295688
黄山假日酒店 ,0559-2116668,0559-2116858
黄山丽都假日酒店 ,0559-2359099,0559-2359000
黄山老家客栈 ,0559-5577725,0559-5577725
黄山来龙山庄 ,0559-5561223,0559-5561223
黄山温徽假日宾馆 ,0559-2112434,0559-2128118
黄山新天鹅大酒店  ,0559-2526268,0559-2358688
黄山乡下客栈 ,0559-5577380,0559-5577380
黄山享自由驿栈 ,0559-5572552,0559-5572552
黄山游豆腐客栈 ,0559-5561110,0559-5565022 
黄山赢庆宾馆 ,0559-2547080,0559-2547089
黄山夜憩静舍客栈 ,0559-2520179,13855993723
锦江之星（黄山屯溪店） ,0559-2342889,0559-2528888
如家快捷酒店（黄山迎宾大道店） ,0559-2578833,0559-2578877
黄山云海楼 ,0559-5565095,0559-5561109、5561789
黄山1314客栈 ,0559-5583168,0559-5581314
诸暨同方豪生大酒店 ,0575-81780008,0575-81780888
诸暨祥生世纪酒店 ,0575-89702031,0575-89702888
诸暨耀江开元名都大酒店  ,0575-88798588,0575-88798888
诸暨百瑞香江大酒店  ,0575-87016688,0575-87172888
浙江百瑞五泄度假村  ,0575-87772102,0575-87772288
诸暨东白湖休闲度假中心 ,0575-87970551,0575-87970666
诸暨凯翔大酒店 ,0575-87751000,0575-80726888
诸暨西子宾馆  ,0575-87012360,0575-87179888
诸暨海亮花园酒店  ,0575-87062777,0575-87177888
诸暨阳光快捷酒店（南门店） ,0575-89005789,0575-89005888
99旅馆连锁（诸暨暨阳路店） ,0575-89002566,0575-89002599
汉庭快捷酒店（诸暨江东路店） ,0575-88790166,0575-88799988
锦江之星（诸暨城西商务区店）(原诸暨商务西区店) ,0575-87309708,0575-87309700
