无锡木棉花酒店 ,0510-85810111,0510-80266999
无锡千禧大酒店 ,0510-66615552,0510-66615551
无锡希尔顿逸林酒店（新区） ,0510-81818000,0510-81818888
无锡星程优阁精品SPA酒店 ,0510-85122578,0510-85107676、85122578
无锡华美达梨庄大酒店 ,0510-83103802,0510-83135555
无锡锦沧文华国际商务酒店 ,0510-88685787,0510-88685777
无锡颐和港湾酒店 ,0510-82335792,0510-82335888
无锡东林广场星程东林大酒店  ,0510-82825235,0510-82828777 
无锡戏江南商务酒店 ,0510-85256008,0510-85222555
无锡星程五爱广场酒店 ,0510-81080788,0510-82713721
无锡1881半岛酒店 ,0510-88688999,0510-88681881
无锡凯宾斯基饭店  ,0510-81088005,0510-81088888
无锡鸿运大酒店 ,0510-82710332,0510-82737557
无锡锦江大酒店  ,0510-82758186,0510-82751688
无锡友谊大饭店  ,0510-85406645,0510-85405838
无锡君乐酒店 ,0510-82752781,0510-88688688
789连锁酒店（无锡站前店） ,0510-85518877,0510-85527788(故障)、0510-82305933(临时使用此号码)
无锡金地时尚快捷宾馆 ,0510-85160167,0510-85164444
无锡西郊宾馆  ,0510-85803048,0510-85883588
汉庭快捷酒店（无锡太湖广场店） ,0510-85029555,0510-85029666
汉庭快捷酒店（无锡新区长江路店） ,0510-85229088 ,0510-85228088
汉庭快捷酒店（无锡太湖广场店） ,0510-85029555,0510-85029666
汉庭快捷酒店（无锡新区长江路店） ,0510-85229088 ,0510-85228088
汉庭快捷酒店（无锡学前街店） ,0510-82715708,0510-82715718
汉庭快捷酒店（无锡中山路南禅寺店） ,0510-66616938,0510-66616928
莫泰168（无锡新区长江路店） ,0510-66689689,0510-66689666
如家快捷酒店（无锡崇宁路店） ,0510-83830202,0510-83830606
无锡铂金商务酒店 ,0510-66101679,0510-66101686、66101687
无锡维多利亚商务酒店 ,0510-66075500,0510-88087777
无锡山明水秀大饭店  ,0510-85111999,0510-88681888
无锡艾迪花园酒店 ,0510-83599272,0510-83590777
无锡湖滨饭店  ,0510-85102637,0510-85101888
无锡华美达广场酒店 ,0510-83586888,0510-83583333
无锡金陵大饭店  ,0510-82339999,0510-82338888
无锡君来洲际酒店 ,0510-81185999,0510-81185888
无锡凯莱大饭店 ,0510-85622678,0510-85622999
无锡雷迪森广场酒店 ,0510-82333322,0510-85159999
无锡灵山元一希尔顿逸林酒店 ,0510-85355888,0510-85355000
无锡锡州花园酒店  ,0510-88686800,0510-88686888
无锡布拉格体验酒店 ,0510-85111810,0510-85129911
无锡财富古运河酒店 ,0510-58220700,0510-58220888
无锡大饭店  ,0510-82700991,0510-85806789
无锡鼎尚皇冠酒店 ,0510-88219599,0510-88228888
无锡国际饭店  ,0510-82309271,0510-82318888
无锡豪伯爵假日酒店 ,0510-81816002,0510-88558666
无锡黄金海岸大酒店  ,0510-82613226,0510-82616888
无锡君来·梁溪饭店 ,　,0510-88683888
无锡金陵山水丽景酒店 ,0510-85551599,0510-85559999
无锡九龙湾乡村家园 ,0510-85581418,0510-85581999
无锡凯燕酒店公寓 ,0510-81087886,0510-81087887
无锡蠡湖八号酒店 ,0510-81177788,0510-81881555
无锡祁龙花园大酒店 ,0510-83883828,0510-83883898
无锡鑫湖度假村 ,0510-85556088-1103,0510-85556088
无锡协和广场大酒店 ,0510-85887011,0510-85812323
无锡香梅国际大酒店  ,0510-85539999,0510-85538888
无锡中国饭店 ,0510-85920660,0510-81808888
汉庭全季酒店（无锡清名路店） ,0510-66077088,0510-66077988
锦江白玉兰酒店（无锡新区店） ,0510-85231200,0510-85231288
无锡柏雅居东和苑服务公寓 ,0510-82330924,0510-82331000
无锡长城大酒店  ,0510-88708977,0510-88708800
无锡春申路宜必思酒店 ,0510-66689288,0510-66689188
无锡古罗马大酒店  ,0510-85418686,0510-85418989
无锡古竹度假村 ,0510-81138766,0510-81138788
无锡红豆柏雅居全套房酒店公寓 ,0510-81807222,0510-81138688
无锡聚丰园饭店  ,0510-88661777,0510-88661777
无锡君悦大酒店  ,0510-85052188,0510-85017911
无锡江原山庄 ,0510-85508795,0510-85514481
无锡美丽都大酒店  ,0510-85868665,0510-85865665
无锡时尚城市商务酒店 ,0510-82704325,0510-82726777
无锡山水锦辉大酒店 ,0510-82755834,0510-82719558、82766688
无锡天长地久大酒店 ,0510-88100188,0510-82707108
无锡桃源山庄（中国建设银行无锡疗养院） ,0510-85680222,0510-85680111
无锡物产大酒店  ,0510-82728687,0510-82701118
无锡香格尔酒店 ,0510-85889188,0510-85857111
无锡新区宜必思酒店（长江北路店） ,0510-85259128,0510-88585555
无锡御景苑大酒店 ,0510-81130888,0510-81130666
无锡隐秀花园酒店 ,0510-85510256,0510-85533999
维也纳酒店（无锡欧风街店） ,0510-82609898,0510-82610288
维也纳酒店（无锡天鹏食品城店） ,0510-81813777,0510-85078888
维也纳酒店（无锡中山路店） ,0510-81015222,0510-85000000
99连锁旅馆（无锡南禅寺店） ,0510-85055092,0510-85013338布丁酒店（无锡车站店） ,0510-82690048,0510-82694848
布丁酒店（无锡欧风街店） ,0510-85293777,0510-66619955
布丁酒店（无锡五爱店） ,0510-82704746,0510-82722808
百时快捷（无锡梁清路店） ,0510-85877382,0510-85816639
好家快捷酒店（无锡太湖大道店） ,0510-85030626,0510-85030607
汉庭海友客栈（无锡胜利门店） ,0510-82600861,0510-85855111
汉庭海友客栈（无锡中山路店） ,0510-66616958,0510-66616968
汉庭快捷酒店（无锡火车站北广场店） ,0510-66610808,0510-66610909
汉庭快捷酒店（无锡梅园店） ,0510-81808222,0510-85528111
汉庭快捷酒店（无锡太湖大道红星路店） ,0510-68868822,0510-68868833
汉庭快捷酒店（无锡锡沪路店） ,0510-82406797,0510-82418888
汉庭快捷酒店（无锡县前西街金马国际店） ,0510-82800037,0510-82805557
汉庭快捷酒店（无锡中山路八佰伴店） ,0510-66616908,0510-66616918
锦江之星（无锡洛社店） ,0510-68866288,0510-68866866
锦江之星（无锡学前店） ,0510-82108188,0510-82108988
锦江之星（无锡运河东路店） ,0510-82740388,0510-82740688
莫泰168（无锡火车站店） ,0510-82324666,0510-82861666
莫泰168（无锡硕放机场店） ,0510-68758166,0510-68758168
莫泰168（无锡县前西街店） ,0510-82809222,0510-82801333
莫泰168（无锡运河东路店） ,0510-66967866,0510-66967888
如家快捷酒店（无锡新区梅村店） ,0510-81155050,0510-81150000
尚客优快捷酒店（无锡姚湾一号店） ,0510-81177588,0510-81177500
尚客优连锁（无锡湖滨路店） ,0510-80237007,0510-80237000
无锡爱客宾馆 ,0510-82602670,0510-82693333
无锡宝隆商务酒店 ,0510-85858177,0510-85860808
无锡城市之星商务宾馆 ,0510-85920600,0510-82700611
无锡蝶尚精品酒店 ,0510-82723813,0510-82032000
无锡福鼎园大酒店 ,0510-85051918,0510-85401988
无锡纺试宾馆 ,0510-85992838,0510-85998777
无锡花都宾馆 ,0510-82606333,0510-82623333
无锡和平商务宾馆（东降店） ,0510-80502208,0510-80268026
无锡和平商务宾馆（兴源店） ,0510-80502208,0510-66619780
无锡和平商务宾馆（中桥店） ,0510-80502208,0510-80502288
无锡金海花园酒店 ,0510-85880221,0510-85804568
无锡吉泰名人商务酒店 ,0510-66966600,0510-66963888
无锡快捷梁青酒店 ,0510-68933280,0510-85872228
无锡快捷利商务宾馆 ,0510-82301788,0510-82325566
无锡美可美家假日酒店 ,0510-85865288,0510-85176999
无锡米兰风尚酒店 ,0510-80213152,0510-80213388
无锡明珠宾馆 ,0510-82703288,0510-82703288
无锡胜家旅馆 ,0510-82857088,0510-82856088
无锡四季阳光酒店 ,0510-85485288,0510-85485188
无锡舒心商务宾馆 ,0510-82305988,0510-82305988 
无锡泰山饭店 ,0510-82301069,0510-66610888
无锡五三零人才商务酒店 ,0510-82821289,0510-82823000
无锡文源宾馆 ,0510-88652129,0510-88652128
无锡小鱼儿假日宾馆 ,0510-82717078,0510-82715667
无锡悦巢酒店 ,0510-80236088,0510-80231888
无锡云发旅馆 ,0510-85129966,0510-85129966
无锡意家快捷酒店 ,0510-85111578,0510-85111578
无锡御庭假日酒店 ,0510-82320355,0510-82308181
维也纳酒店（无锡旺庄路店） ,0510-68758813,0510-68880888
宜家商务连锁酒店（无锡钱桥店） ,0510-82436666,0510-83207555
宜家商务连锁酒店（无锡锡沪路店） ,0510-82436666,0510-82410888  
宜家商务连锁酒店（无锡锡沪路店） ,0510-82436666,0510-82410888  
无锡万达喜来登酒店 ,0510-81166000,0510-81166888
无锡白金汉爵大酒店 ,0510-82332688,0510-85328888
无锡创意时尚酒店 ,0510-82336699,0510-82336688
无锡锦湖大酒店 ,0510-85996242,0510-85995888
无锡锦仑大酒店  ,0510-82718818,0510-82715858
无锡绿色广场大酒店 ,0510-85756168,0510-88688788
无锡舜天碧波度假村  ,0510-85996053,0510-85996666
无锡太湖花园度假村  ,0510-85555323,0510-85555888
无锡太湖明珠国际大酒店 ,0510-85995784,0510-85998888
无锡太湖能园度假村 ,0510-85104099,0510-85118888
无锡西苑山庄 ,0510-68781000,0510-68781088
无锡中益国际商务酒店 ,0510-85228080,0510-81819999
无锡安德福金色海岸酒店 ,0510-83130567,0510-83113888
无锡百喜大酒店 ,0510-88252218,0510-88250588
无锡飞鸿宾馆 ,0510-85103670,0510-85885888
无锡海天大酒店  ,0510-85123186,0510-85129988
无锡金色豪门酒店 ,0510-66102888,0510-66078888
无锡丽晶简爱酒店 ,0510-66966887,0510-82626002
无锡灵山精舍 ,0510-85376999,0510-85376888
